id_teste,relato,categoria_predita,urgencia_predita,explicacao_agente
39,pessoal atravessa correndo porque os carros nunca param ali,Trânsito,Alta,Risco iminente de acidente grave devido à falta de atenção dos motoristas e pedestres.
40,a praça virou estacionamento improvisado durante a noite,Perturbação,Baixa,"A praça foi usada como estacionamento improvisado durante a noite, causando desconforto visual e estético."
41,não vi acidente ainda mas alguém vai se machucar naquela curva sem placa,Trânsito,Média,"Risco de acidente futuro, mas sem risco iminente à vida, conforme Parecer do Auditor"
42,a água da torneira está saindo com cor estranha hoje,Saneamento,Média,"A água com cor estranha pode indicar contaminação ou problemas no sistema de abastecimento, que precisam ser investigados e resolvidos para garantir a saúde pública."
43,muita fumaça preta saindo de uma oficina durante o dia inteiro,Saneamento,Média,"A fumaça preta pode ser um sinal de queimadas de combustível ou materiais, causando incômodo à população e potencialmente afetando a qualidade do ar."
44,"tem um buraco escondido pela água da chuva, impossível ver",Saneamento,Alta,"Risco iminente de queda e lesão grave, conforme Parecer do Auditor"
45,parece brincadeira mas a tampa do bueiro simplesmente sumiu,Saneamento,Média,"A falta da tampa do bueiro pode causar transtornos à rotina e perda de infraestrutura, mas não há risco imediato à vida ou saúde pública."
46,um cachorro ficou preso dentro do canal e ninguém consegue tirar,Saneamento,Alta,"Risco iminente de afogamento do cachorro, conforme Parecer do Auditor"
47,luzes da quadra pública apagadas e pessoas evitando passar por lá,Iluminação,Média,"Pessoas evitam passar por lá devido à falta de iluminação, causando transtorno à rotina."
48,barreira de obra caiu e ficou espalhada na pista,Infraestrutura,Alta,"Risco iminente de acidente grave devido a obstáculo na pista, conforme Parecer do Auditor."
49,a sirene disparou várias vezes sem motivo aparente,Perturbação,Média,"A sirene disparou várias vezes sem motivo aparente, causando perturbação, mas não há risco iminente à vida ou saúde pública."
50,o chão da passarela treme quando passa muita gente,Infraestrutura,Média,"A passarela pode estar com estrutura comprometida, causando desconforto e risco de acidentes, embora não seja iminente."
